Metabolite Name	METABOLITE_ID (will be added)	Units	S00017187	S00017188	S00017189	S00017190	S00017191	S00017192	S00017193	S00017194	S00017195	S00017196	S00017197	S00017198	S00017199	S00017200	S00017201	S00017202	S00017203	S00017204	S00017205	S00017206	S00017207	S00017208	S00017209	S00017210																																																												
AKG		pmol/µg protein	31,251	11,084	27,519	62,963	49,553	41,281	27,885	29,757	31,933	28,641		31,509	32,650	52,418	44,756	34,422	45,633	41,352	40,781	43,886	39,414	51,728	56,694	62,079																																																												
ASP		pmol/µg protein	62,180	22,501	52,960	76,140	58,281	45,907	35,157	35,511	47,687	40,310		41,691	73,795	87,021	86,301	39,242	51,184	50,246	49,222	52,763	53,820	50,495	59,177	60,323																																																												
FUM		pmol/µg protein	24,595	8,116	24,614	42,001	30,950	26,595	31,431	31,175	30,486	30,552		30,626	25,521	29,531	27,830	27,700	29,989	27,847	35,936	35,951	36,462	43,670	41,165	55,445																																																												
GLN		pmol/µg protein	7087,379	2580,922	5535,911	8362,696	7671,264	5752,152	7102,907	6448,420	14280,662	11418,656		14251,520	9610,534	11036,169	8391,891	5283,799	7219,737	7073,699	9565,454	11527,401	11566,774	13202,459	17905,139	16597,296																																																												
GLU		pmol/µg protein	582,283	179,384	414,297	976,694	732,060	627,033	1029,789	1017,464	1404,115	1319,934		1367,772	622,213	812,879	703,002	711,109	865,972	775,743	952,100	941,690	1018,609	630,644	932,607	926,662																																																												
LAC		pmol/µg protein	757,768	355,230	783,452	1775,799	1436,629	1238,370	9016,869	9533,086	12403,263	14430,583		19211,590	1226,812	1154,311	1088,715	1787,200	1630,533	1317,748	9558,696	11747,751	10819,877	16091,563	21880,642	21472,413																																																												
OAA		pmol/µg protein	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000		0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000	0,000																																																												
PYR		pmol/µg protein	113,310	55,897	111,165	125,934	116,261	93,653	57,466	65,273	90,780	47,636		46,290	193,140	189,607	181,953	98,499	109,900	100,698	162,109	220,498	184,180	267,372	316,427	355,114																																																												
																																																																																						
